,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
70,47.87,48.31,47.69,47.9,17685000.0,2006-04-30,2006-05-16,0.63,0.61,0.02,3.2787,2006-05-16
71,45.71,46.46,45.47,45.74,15374300.0,2006-01-31,2006-02-21,0.84,0.83,0.01,1.2048,2006-02-21
72,49.41,49.69,49.01,49.3,13834200.0,2005-10-31,2005-11-14,0.57,0.57,0,0,2005-11-14
73,48.06,48.2,47.15,47.57,29758300.0,2005-07-31,2005-08-16,0.67,0.65,0.02,3.0769,2005-08-16
74,46.8,47.87,46.6,47.65,32523500.0,2005-04-30,2005-05-12,0.55,0.56,-0.01,-1.7857,2005-05-12
75,52.95,53.04,52.33,52.7,14965300.0,2005-01-31,2005-02-17,0.75,0.74,0.01,1.3514,2005-02-17
76,57.0,57.15,56.66,56.89,12232200.0,2004-10-31,2004-11-16,0.54,0.54,0,0,2004-11-16
77,52.58,53.39,52.48,52.65,14352600.0,2004-07-31,2004-08-12,0.62,0.61,0.01,1.6393,2004-08-12
78,55.06,55.62,53.8,55.25,13221100.0,2004-04-30,2004-05-13,0.5,0.49,0.01,2.0408,2004-05-13
79,58.2,58.95,57.699,58.38,20616400.0,2004-01-31,2004-02-19,0.63,0.63,0,0,2004-02-19
80,56.35,56.4,55.4,55.52,27996900.0,2003-10-31,2003-11-13,0.46,0.47,-0.01,-2.1277,2003-11-13
81,58.5,58.65,57.85,58.07,9404700.0,2003-07-31,2003-08-13,0.52,0.52,0,0,2003-08-13
82,55.76,56.32,55.48,55.49,9215700.0,2003-04-30,2003-05-13,0.41,0.42,-0.01,-2.381,2003-05-13
83,49.65,49.79,48.77,49.08,9132900.0,2003-01-31,2003-02-18,0.57,0.56,0.01,1.7857,2003-02-18
84,53.86,54.98,53.25,54.98,11655000.0,2002-10-31,2002-11-13,0.41,0.4,0.01,2.5,2002-11-13
85,48.41,50.65,47.45,48.71,14450100.0,2002-07-31,2002-08-13,0.46,0.45,0.01,2.2222,2002-08-13
86,57.5,58.25,57.05,57.39,12505700.0,2002-04-30,2002-05-14,0.37,0.36,0.01,2.7778,2002-05-14
87,59.4,60.18,59.2,59.29,9060600.0,2002-01-31,2002-02-19,0.49,0.49,0,0,2002-02-19
88,55.9,55.95,54.25,55.0,10522000.0,2001-10-31,2001-11-13,0.33,0.33,0,0,2001-11-13
89,49.4,49.73,48.0,48.15,14394400.0,2001-04-30,2001-06-15,0.31,0.31,0,0,2001-06-15
90,47.35,48.49,46.56,47.85,7509700.0,2001-01-31,2001-03-15,0.45,0.45,0,0,2001-03-15
91,47.25,48.44,46.75,46.88,8533200.0,2000-10-31,2000-11-14,0.31,0.31,0,0,2000-11-14
92,54.06,54.75,52.94,53.63,17750700.0,2000-07-31,2000-08-09,0.36,0.36,0,0,2000-08-09
93,54.38,54.88,52.5,53.0,8888200.0,2000-04-30,2000-05-09,0.3,0.28,0.02,7.1429,2000-05-09
94,56.94,58.0,55.0,58.0,9712100.0,2000-01-31,2000-02-15,0.43,0.42,0.01,2.381,2000-02-15
95,58.0,58.19,56.56,58.0,10026300.0,1999-10-31,1999-11-09,0.29,0.28,0.01,3.5714,1999-11-09
